,Tweets,date
0, Dubai Police BUGATTI Best 3DNFTcars BUY and WIN a TRIP TO DUBAI ONLY 1 availabe in this design in the whole world Dubai Police Bugatti NFTs NFTCollections UAE BAYC ,2022-06-14
1, Otherdeed 98407 bought for 16 9 19898 06 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-14
2, Otherdeed BAYC amp amp WL Giveaway 1x OthersideMeta Exclusive NFT Worth 3 Eth 3x SupperClub NFT Exclusive WLTo Win ,2022-06-14
3, It s honestly kind of satisfying to see so many smug assholes lose 90 of their NFT wealth Specifically the douchebags fla ,2022-06-14
4, Congratulations welcome to the real ape club ,2022-06-14
5, When started dropping some wisdom on yugalabs bayc trademarks and crypto v1 v2 at the polygon event ,2022-06-14
6,Got BAYC merch hats and throw blankets for sale Still in package Dm me,2022-06-14
7, He s probably watching the BAYC prices thinking these youngins need to get poor again ,2022-06-14
8, This fire ass RR BAYC is owned by my guy Reserve yours now at ,2022-06-14
9,If I see anyone wearing this stupid ass hat or BAYC merch you already know how I m coming I m knocking that weak shit off like a real ape ,2022-06-14
10,Is this how BAYC felt at the start 0xApes TheTribe ,2022-06-14
11, Come join community space The Graveyard is coming NFTs NFTCommunity NFTNYC2022 Lets go ,2022-06-14
12, Lol who fucking cares that piece is trash anyway what is he going to do hit an NFT the go smash the glass barbie with the BAYC founders a multi multi millionaires They don t give a fuck Gtfo,2022-06-14
13, get in now before we are 5 eth floor and you can t afford to buy in anymore this is a blue chip project if I ve ever seen one NFTs NFTGiveaway whales trolltownwtf BAYC ,2022-06-14
14,One of the most popular NFTcollection is the Bored Ape Yacht Club BAYC which is at a floor price of 86 85 ETH with a total volume of 607 6K eth Get your NFTloan through HAKA ,2022-06-14
15, Now I do admit this is advanced 1 BAYC a month ago 5 BAYC today ,2022-06-14
16,NFTCommunity not bored of expensive BAYC Increase your imagination to the other NFTs Not necessarily my collection explore more people BAYC9545 apefollowape yugalabs opensea BTC Ethereum,2022-06-14
17, Otherdeed 55392 bought for 2 7 3148 55 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-14
18, Otherdeed 8393 bought for 18 88 22229 31 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-14
19,Coin of the day LunarCrush APECOIN APE bayc APE ,2022-06-14
20, Im now the proud owner of Tripped out BAYC 4070 I cant believe I ended up winning this Thank you ,2022-06-14
21, Louder for the people in the back cause no one hearing you ,2022-06-14
22,I love best project now on OS Best nftcommunity Here is my ape REKTAPENFT nft nfts Apenft degenmint freemint bayc BoredApeYachtClub NFTCommmunity NFTdrops NFTGiveway ,2022-06-14
23, Haha sorry I m just always looking out looked suspicious but then I saw BAYC follows you and it s not a fake account lol,2022-06-14
24, I have a few,2022-06-14
25,Been said Umans are the BAYC of FTM ETH BTC AVAX ,2022-06-14
26, Nifty BAYC 50 Lonely Apes ,2022-06-14
27,3 His Bored Ape 8398 is meant to be the star of an upcoming TV show titled White Horse Tavern Last week Green told his followers on Twitter that the BAYC NFT was home nftcollectible,2022-06-14
28, My future outlook is all positive Not only on the metaverse integration but the artist is the BAYC artist which is always the fall back ,2022-06-14
29, I ll gladly take it I still love you ,2022-06-14
30, Otherdeed 97060 bought for 13 6 WETH 14958 37 otherside otherdeed BAYC MAYC APE Metaverse WhaleAnalytica ,2022-06-14
31, Don t create fomo please i need to sweep some more first ,2022-06-14
32,I thought it was impossible but BAYC finally found a piece of art so ugly that stamping something in their hideous art style on top does not result in an obvious downgrade ,2022-06-14
33, Why i joined the 1 Strong active team 1 ,2022-06-14
34, In celebration of the project launch we ll be giving away 2 Bored Ape Yacht Club NFT Join our Discord and be aware of o ,2022-06-14
35, 10KTF now open get at least 1 item from and join the battle this may be HUGE ,2022-06-14
36, Only project I am not worried about in this bear market is Only 5 listed 251 items What does that tell yo ,2022-06-14
37, that x BAYC Ladies x collab is coming Support woman in web3 amp Cannabis ,2022-06-14
38,ethereum ethereumnfts ethereumnft opensea openseanft NFT NFTs nftart nftcommunity bayc mayc goblintownwtf veecon doodles etherrock ,2022-06-14
39, Dude can t even hold his marriage together can t expect him to understand how to HODL a BAYC,2022-06-14
40,That s more than 1 million ,2022-06-14
41, As a holder Never stop promoting and supporting the space regardless market situation Great vision lives NFT ,2022-06-14
42, On today s BLOODY episode Are Cryptos and NFTs dead Targets for ETH and BTC Are we buying BAYC What Bluechips ,2022-06-14
43, ad MAYC 19 ETH 34000 GIVEAWAY mints in 24 hours and is giving away a BAYC NFT worth over 34000 To ,2022-06-14
44, What are top 1 of NFT traders buying today Pulled these NFTs from our software today We start WL Mint for our NFT tod ,2022-06-14
45, And takes profits while others get left paying the bill And flames and fuds projects that aren t rugpulls Don t gloss over the rest of it This thread started about defi dave flaming a project he took profits from Low has done the same He sold that LHRC custom and fudded,2022-06-14
46, Thank you for a smooth trade I love my new Bored Halo Prisoner BAYC 3028 can t wait to trip him and add ,2022-06-14
47, I was buying sokundee when bayc was minting ,2022-06-14
48, Creepz flip Bayc this year ,2022-06-14
49, Trippy cool ass art Bad ass community psychonautapes padfam padcrew BAYC MAYC padto1eth Ethereum ETH art project NFTCommunity NFTs CRYTPO nftlover shill nftcollection padmilia psychonautaped metaverse Blockchain rarible OpenSeaNFT otherside ,2022-06-14
50, I doubt he is gonna reply to you right now And if he does he will say some generic textbook phrases wagbo I m adding more bears next bayc ,2022-06-14
51, MONKE HAS BROKEN ATH LFG MONKE FLIP APE BUY MONKE MONKE WILL NOT BE STOPPED ETH memecoin 1000xg ,2022-06-14
52, is everywere on the streets on the blockchainin our soul amp hearts nft nfts trendingnft NFTCommunity NFTdrop degen degenmint freemint BAYC boredapeyachclub BoredApeYC APENFTMktplace RektApeCopeClub ,2022-06-14
53, 13 Utility At current prices BAYC holders have been airdropped over 250k 150k in tokens 75k in Mutants and 25k ,2022-06-14
54,If you are friends with one of these celebs who got caked off to pretend they bought a BAYC now would be a good time to explain to them what s going on The end is near ,2022-06-14
55, NFT NFTs NFTCommunity NFTGiveaways NFTCommumity NFTartist nftart nftdrop bitcoin btc bayc Ethereum opensea Be ,2022-06-14
56, This week had the biggest down move of the year for the BAYC floor in ETH terms for BAYC which was immediately followed b ,2022-06-14
